twitter_id,create_at,tweet_text,user_id,user_location,tag_text,url,key_word,retweet_count,like_count,twitter_hour,twitter_weekday,twitter_day
67,2018-04-06 18:29:54,The best boy and the best player ??? @GrigorDimitrov #monaco #montecarlo #montecarlorolexmasters #tennis #GD… https://t.co/wRzX47MiXi,967316083102363648,Monaco,monaco,https://t.co/wRzX47MiXi,Grigor Dimitrov,0,1,18,4,6
68,2018-04-06 18:04:10,The best boy and the best player ??? @GrigorDimitrov #monaco #montecarlo #montecarlorolexmasters #tennis #GD… https://t.co/7GLRs54WQN,967316083102363648,Monaco,monaco,https://t.co/7GLRs54WQN,Grigor Dimitrov,0,2,18,4,6
69,2018-04-06 18:02:53,The best boy and the best player ??? @GrigorDimitrov #monaco #montecarlo #montecarlorolexmasters #tennis #GD… https://t.co/3FCa2WrdRt,967316083102363648,Monaco,monaco,https://t.co/3FCa2WrdRt,Grigor Dimitrov,0,3,18,4,6
78,2018-04-06 14:43:43,"#CoupeDavis : en groupe 1 Europe, Andrey #Rublev (35e) s'incline contre le 195e mondial Dennis #Novak. L'Autriche,… https://t.co/dtTSK05EKo",881942460041220097,,CoupeDavis,https://t.co/dtTSK05EKo,Dominic Thiem,0,0,14,0,6
70,2018-04-06 13:40:58,Practice makes perfect ??? @GrigorDimitrov #monaco #montecarlo #montecarlorolexmasters #tennis #GD #grigor… https://t.co/fWl88TVEck,967316083102363648,Monaco,monaco,https://t.co/fWl88TVEck,Grigor Dimitrov,0,7,13,4,6
43,2018-04-06 13:15:04,David Goffin was out door oogblessure. Hij had het nochtans kunnen voorkomen. #eyeweareverywhere #oogblessure… https://t.co/dDIlF1Mx78,270079495,BELGIUM,eyeweareverywhere,https://t.co/dDIlF1Mx78,David Goffin,0,0,13,4,6
71,2018-04-06 11:26:39,Training ??? @GrigorDimitrov #monaco #montecarlo #montecarlorolexmasters #tennis #GD #grigor #dimitrov… https://t.co/pfh90443xR,967316083102363648,Monaco,monaco,https://t.co/pfh90443xR,Grigor Dimitrov,0,7,11,4,6
72,2018-04-06 09:15:52,☺?? @GrigorDimitrov #monaco #montecarlo #montecarlorolexmasters #tennis #GD #grigor #dimitrov #grigordimitrov… https://t.co/mVV3Y57RtJ,967316083102363648,Monaco,monaco,https://t.co/mVV3Y57RtJ,Grigor Dimitrov,0,4,9,4,6
44,2018-04-05 23:15:49,"#CopaDavis Estados Unidos ?? vs Bélgica ??

Sin David Goffin ??, los belgas irán en búsqueda de la hazaña frente al… https://t.co/AHKdZs1vn8",927397425521872896,Argentina,CopaDavis,https://t.co/AHKdZs1vn8,David Goffin,1,1,23,3,5
45,2018-04-05 21:31:48,RT @ROLEXMCMASTERS: Practice on Court Rainier III for @david__goffin #rolexmcmasters #mccc #Comingsoon https://t.co/OwoLJhEjpP https://t.co…,19797994,,rolexmcmasters,https://t.co/OwoLJhEjpP,David Goffin,7,0,21,3,5
79,2018-04-05 21:00:01,"#TENISxESPN #LaGiraSoñada Roland Garros contará con tres retadores a Rafael Nadal: Dominic Thiem, Stanislas Wawrink… https://t.co/nPujaonYst",48245440,,TENISxESPN,https://t.co/nPujaonYst,Dominic Thiem,6,20,21,6,5
